genome_id	accession	formato	checksum_status	local_sha256	remote_checksum
DSG0001	CP023061	genbank	local-only	773c4b30381f6318a6f1f4b466678d234047f00139eb10bbbb31abbbf37f7766	
DSG0001	CP023061	gff3	local-only	8d99d1ed3111b9e5676bf46cabfcca34137aedebd73c3543ba94a0c1576e2aac	
DSG0001	CP023061	fasta	local-only	1b7fc17800da5115c18d303f6b68a11d51e287d475e97b668e8c12d718bc543b	
DSG0001	CP023062	genbank	local-only	dc4dd11a50115d4921c10b31f5c863259d2c03fab7e2ea9b2859b7ee4437150a	
DSG0001	CP023062	gff3	local-only	80b88d63c0d7dc1fc22e8c78636429a48bb1a4e729ebec30fb438990b1793af0	
DSG0001	CP023062	fasta	local-only	d73908c4767e370fa2f87c4e0c3c68d1766cba9784cab78486f7c078200efe60	
DSG0002	CP035884	genbank	local-only	1a1e26ae983ef39cf81fa679d97614124d17270331a06903564dc92745d5854a	
DSG0002	CP035884	gff3	local-only	8bdd5aae8f534e7276ef07ba6e77ba798318bfb5ea246b0bc8135ed23b1df984	
DSG0002	CP035884	fasta	local-only	56b8a9e61993a18c29f736fdd78c0a2a68fefb13bb482bb74ef2bd5818a65ff2	
DSG0002	CP035885	genbank	local-only	99b4096325af62cc781edcdb4323749bbf32803cb7ec9ae6bea5d8135af224f2	
DSG0002	CP035885	gff3	local-only	c005ab2a5cac6e9e10084dbffd0bc94941b613f06f221bc7a1c9bcf34898cb4b	
DSG0002	CP035885	fasta	local-only	be7f226175bcd6bae7e08ecd5cbf9a29bfe0b723392e5a1b52cd617879ba751c	
DSG0003	CP035817	genbank	local-only	4d17b3720f2cb9e9e3dbd1f15d489111234c14c257aa83d3abb5968bcff57cdb	
DSG0003	CP035817	gff3	local-only	db42935790a9a7496af2bc90ddbf8941a7f402522a64b1a1c516cf54186f8156	
DSG0003	CP035817	fasta	local-only	552df67697f293d9f4517df71223cb288b06fa39311da0c7cc0cf09972e0a369	
DSG0003	CP035818	genbank	local-only	4da919e05708bc489464ba9101bbb62035c7b8d4d7b25eb26359a347bf886ad9	
DSG0003	CP035818	gff3	local-only	ce53d9914fc6781c18bda010a427b12c6ae0136c53a1e163e1daa7c961c4491b	
DSG0003	CP035818	fasta	local-only	9f75fed32915550fd4b5a0598bb9faa3ee0b8aecda56113a82b568244897cecb	
DSG0004	CP028308	genbank	local-only	5e825f9c7cf2862c242aaefcf4bb5141ad4064a91a41b8f04cc41c11f922b439	
DSG0004	CP028308	gff3	local-only	1e94ab04ca871f5d4383f7893c5039095b4e7105b47dec76a8004826b4abab8e	
DSG0004	CP028308	fasta	local-only	a86bf068c3aa0ca3ae9e3f6f4aa391c264286df705d69560e7db4f9fbb90e689	
