genome_id	genome_name	assembly_accession	genbank_accessions	chromosomes	plasmids	contigs	Genome_download	Plasmid_check	RGI_status	Accession_usado	Plasmids_detected
DSG0001	Escherichia coli strain FORC_069	GCA_003491165.1	CP023061,CP023062	1.0	1	2	completado	verificado	Pendiente	GCA_003491165.1	1
DSG0002	Escherichia coli strain LSN03-016011/A	GCA_018884585.1	CP035884,CP035885	1.0	1	2	completado	verificado	Pendiente	GCA_018884585.1	1
DSG0003	Escherichia coli strain E7476	GCA_018884285.1	CP035817,CP035818	1.0	1	2	completado	verificado	Pendiente	GCA_018884285.1	1
DSG0004	Escherichia coli strain E24377A	GCA_003028775.1	CP028308	1.0	0	1	completado	verificado	Pendiente	GCA_003028775.1	0
DSG0005	Escherichia coli O157:H7 strain Sakai	GCA_003028755.1	CP028307	1.0	0	1	completado	verificado	Pendiente	GCA_003028755.1	0
DSG0006	Escherichia coli strain 5CRE51	Unavailable	CP021175,CP021176,CP021177	1.0	2	3	completado	verificado	Pendiente	CP021175,CP021176,CP021177	2
DSG0007	Escherichia coli strain FHI_NMBU_11	GCA_016803875.1	CP045712,CP045713,CP045714,CP045715,CP045716,CP045717	1.0	5	6	completado	verificado	Pendiente	GCA_016803875.1	5
DSG0008	Escherichia coli strain UFU_EC98	GCA_002736085.1	CP024092,CP024093,CP024094,CP024095	1.0	3	4	completado	verificado	Pendiente	GCA_002736085.1	3
DSG0009	Escherichia coli strain 190693	GCA_011022275.1	CP048934	1.0	0	1	completado	verificado	Pendiente	GCA_011022275.1	0
DSG0010	Escherichia coli strain 201609	GCA_010092965.1	CP048107	1.0	0	1	completado	verificado	Pendiente	GCA_010092965.1	0
DSG0011	Escherichia coli strain E275 a	GCA_018884485.1	CP035865,CP035867,CP035866,CP035869,CP035868	1.0	4	5	completado	verificado	Pendiente	GCA_018884485.1	4
DSG0012	Escherichia coli O157:H7 str. EDL933	GCA_003028715.1	CP028305	1.0	0	1	completado	verificado	Pendiente	GCA_003028715.1	0
DSG0013	Escherichia coli strain BR64-DEC	GCA_004116935.1	CP035354,CP035352,CP035353,CP035355,CP035356,CP035357,CP035358,CP035359	1.0	7	8	completado	verificado	Pendiente	GCA_004116935.1	7
DSG0014	Escherichia coli strain 95	GCA_007107905.1	CP041526,CP041527,CP041528	1.0	2	3	completado	verificado	Pendiente	GCA_007107905.1	2
DSG0015	Escherichia coli strain 131	GCA_007109165.1	CP041546,CP041547,CP041548,CP041549	1.0	3	4	completado	verificado	Pendiente	GCA_007109165.1	3
DSG0016	Escherichia coli strain SF-468	GCA_001280345.1	CP012625,CP012626,CP012627,CP012628,CP012629,CP012630	1.0	5	6	completado	verificado	Pendiente	GCA_001280345.1	5
DSG0017	Escherichia coli strain BH100N	GCA_002900305.1	CP025703	1.0	0	1	completado	verificado	Pendiente	GCA_002900305.1	0
DSG0018	Escherichia coli strain ETEC-2264	GCA_002302335.1	CP023349,CP023350,CP023351,CP023352	1.0	3	4	completado	verificado	Pendiente	GCA_002302335.1	3
DSG0019	Escherichia coli strain ESC53083	GCA_016939795.1	CP070593,CP070592,CP070591,CP070590,CP070589,CP070588,CP070587	1.0	6	7	completado	verificado	Pendiente	GCA_016939795.1	6
DSG0020	Escherichia coli O157:H7 strain TT12B strain not applicable	GCA_009627495.1	CP038494,CP038495	1.0	1	2	completado	verificado	Pendiente	GCA_009627495.1	1
DSG0021	Escherichia coli strain Survcare253	GCA_018771465.1	CP076305,CP076309,CP076308,CP076306,CP076307,CP076310,CP076311	1.0	6	7	completado	verificado	Pendiente	GCA_018771465.1	6
DSG0022	Escherichia coli strain EcPNK006	GCA_017352055.1	CP071436,CP071437,CP071438	1.0	2	3	completado	verificado	Pendiente	GCA_017352055.1	2
DSG0023	Escherichia coli strain MNCRE44	GCF_000931565.1	CP010876,CP010877,CP010878,CP010879,CP010880,CP010881,CP010882	1.0	6	7	completado	verificado	Pendiente	GCF_000931565.1	6
DSG0024	Escherichia coli strain 357900 strain not applicable	GCA_013376895.1	CP038859	1.0	0	1	completado	verificado	Pendiente	GCA_013376895.1	0
DSG0025	Escherichia coli O157:H7 strain Z1812	GCA_017165015.1	CP062727,CP062728	1.0	1	2	completado	verificado	Pendiente	GCA_017165015.1	1
DSG0026	Escherichia coli strain B7A	GCA_018884265.1	CP035812,CP035816,CP035815,CP035814,CP035813	1.0	4	5	completado	verificado	Pendiente	GCA_018884265.1	4
DSG0027	Escherichia coli strain 179	GCA_018208275.1	CP062924,CP062925,CP062926	1.0	2	3	completado	verificado	Pendiente	GCA_018208275.1	2
DSG0028	Escherichia coli strain EcPF40	GCA_013372305.1	CP054214,CP054215,CP054216,CP054217,CP054218	1.0	4	5	completado	verificado	Pendiente	GCA_013372305.1	4
DSG0029	Escherichia coli strain p4A	GCA_011331215.1	CP049085	1.0	0	1	completado	verificado	Pendiente	GCA_011331215.1	0
DSG0030	Escherichia coli strain CRE10	GCA_004135815.1	CP034404,CP034401,CP034402,CP034405,CP034403	1.0	4	5	completado	verificado	Pendiente	GCA_004135815.1	4
DSG0031	Escherichia coli strain M70	GCA_019428565.1	CP080118	1.0	0	1	completado	verificado	Pendiente	GCA_019428565.1	0
DSG0032	Escherichia coli strain 73	GCA_007108685.1	CP041538,CP041539,CP041540	1.0	2	3	completado	verificado	Pendiente	GCA_007108685.1	2
DSG0033	Escherichia coli strain 131	GCA_007109005.1	CP041544,CP041545	1.0	1	2	completado	verificado	Pendiente	GCA_007109005.1	1
DSG0034	Escherichia coli strain MS6193	GCA_013317085.1	CP047405,CP047406,CP047407,CP047408	1.0	3	4	completado	verificado	Pendiente	GCA_013317085.1	3
DSG0035	Escherichia coli strain MSHS 472	GCA_006777065.1	CP041302,CP041301	1.0	1	2	completado	verificado	Pendiente	GCA_006777065.1	1
DSG0036	Escherichia coli strain FC853_EC	GCA_006351885.1	CP040919,CP040920,CP040921,CP040922,CP040923	1.0	4	5	completado	verificado	Pendiente	GCA_006351885.1	4
DSG0037	Escherichia coli strain 04-00955	GCA_004564035.1	CP035498	1.0	0	1	completado	verificado	Pendiente	GCA_004564035.1	0
DSG0038	Escherichia coli strain E2	GCA_018884065.1	CP048915,CP048917,CP048919,CP048916,CP048918	1.0	4	5	completado	verificado	Pendiente	GCA_018884065.1	4
DSG0039	Escherichia coli strain UPEC-455U/190220	GCA_019443605.1	CP049839,CP049843,CP049842,CP049841,CP049844,CP049840	1.0	5	6	completado	verificado	Pendiente	GCA_019443605.1	5
DSG0040	Escherichia coli strain p10A	GCA_011331065.1	CP049081,CP049082,CP049083,CP049080,CP049084	1.0	4	5	completado	verificado	Pendiente	GCA_011331065.1	4
DSG0041	Escherichia coli strain strain Z247	Unavailable	CP021207,CP021208,CP021209,CP021210	1.0	3	4	completado	verificado	Pendiente	CP021207,CP021208,CP021209,CP021210	3
DSG0042	Escherichia coli strain BR25-DEC	GCA_004116875.1	CP035331,CP035332,CP035333,CP035334	1.0	3	4	completado	verificado	Pendiente	GCA_004116875.1	3
DSG0043	Escherichia coli strain EcPF16	GCA_013372345.1	CP054224,CP054225,CP054226	1.0	2	3	completado	verificado	Pendiente	GCA_013372345.1	2
DSG0044	Escherichia coli strain EC974	Unavailable	CP021840,CP021841,CP021842,CP021843	1.0	3	4	completado	verificado	Pendiente	CP021840,CP021841,CP021842,CP021843	3
DSG0045	Escherichia coli strain K56-43-un	GCA_013394575.1	CP053079	1.0	0	1	completado	verificado	Pendiente	GCA_013394575.1	0
DSG0046	Escherichia coli strain uk_P46212	GCF_001469815.1	CP013658,CP013657		1	2	completado	verificado	Pendiente	GCF_001469815.1	1
DSG0047	Escherichia coli strain 377323_2f strain not applicable	GCA_004804185.1	CP039404,CP039405	1.0	1	2	completado	verificado	Pendiente	GCA_004804185.1	1
DSG0048	Escherichia coli strain 963	GCA_007108305.1	CP041532,CP041533,CP041534	1.0	2	3	completado	verificado	Pendiente	GCA_007108305.1	2
DSG0049	Escherichia coli strain WS0115A	GCA_018884565.1	CP035882,CP035883	1.0	1	2	completado	verificado	Pendiente	GCA_018884565.1	1
DSG0050	Escherichia coli strain NCCP 14540	GCA_009873435.1	CP042982	1.0	0	1	completado	verificado	Pendiente	GCA_009873435.1	0
DSG0051	Escherichia coli strain BR12-DEC	GCA_004116815.1	CP035325,CP035326,CP035327,CP035328,CP035329	1.0	4	5	completado	verificado	Pendiente	GCA_004116815.1	4
